ano,id_municipio,conta,valor,perc
2022,2803906,Saúde,11116297.75,22.592286273101163
2022,2804201,Saúde,10848840.46,20.54294500071166
2022,2805000,Saúde,5280334.24,20.584809591847332
2022,2806602,Saúde,11954781.23,21.907234308383376
2022,2801603,Saúde,7263341.57,23.832946863452158
2022,2806701,Saúde,49205958.02,18.871060287494814
2022,2800506,Saúde,17125136.08,20.381858185324738
2022,2804904,Saúde,12030900.38,16.48648895814514
2022,2807402,Saúde,31876748.93,21.176318992203043
2022,2803302,Saúde,17419587.91,20.09198430434588
2022,2805604,Saúde,22215147.61,24.956920515652378
2022,2804805,Saúde,121290398.67,23.095589865796715
2022,2805901,Saúde,9465467.9,19.1529683592697
2022,2801900,Saúde,5685120.85,23.73675882451158
2022,2806404,Saúde,7120647.13,15.96003223133243
2022,2800407,Saúde,10392239.6,20.73998239322663
2022,2803104,Saúde,5180481.75,19.68723920384719
2022,2803500,Saúde,72343846.83,23.257222412562445
2022,2802007,Saúde,8519165.49,18.029198722209017
2022,2804607,Saúde,23129288.71,24.852157623369862
2022,2805208,Saúde,5913247.91,19.904182843935207
2022,2804409,Saúde,13703261.39,22.113528916162224
2022,2800704,Saúde,8207498,17.008839295020934
2022,2806008,Saúde,16499021.35,25.632031922973358
2022,2807006,Saúde,4793785.73,19.477531328988114
2022,2806800,Saúde,8231853.15,19.922498303318033
2022,2801306,Saúde,26388814.94,16.555347836529833
2022,2704401,Saúde,23506254.05,21.414973439628767
2022,2700706,Saúde,24822587.02,26.17263169603191
2022,2704302,Saúde,862104716.54,26.984308732313906
2022,2703403,Saúde,7597782.36,18.78790011507246
2022,2709202,Saúde,20449398.04,17.547096103608855
2022,2700300,Saúde,201171706.86,24.864259794435608
2022,2703601,Saúde,9330404.33,17.945583299352784
2022,2707800,Saúde,8578190.46,17.45885302053892
2022,2704807,Saúde,15874936.98,24.34647926738342
2022,2704203,Saúde,29712983.44,20.579299266593157
2022,2700201,Saúde,17751021.68,24.92573277043715
2022,2700409,Saúde,42603936.55,17.924059051260112
2022,2700508,Saúde,18304117.29,17.45574552058645
2022,2703502,Saúde,8136269.48,14.011279968050742
2022,2704005,Saúde,39122715.31,24.210276560840228
2022,2704906,Saúde,6841848.59,21.585854720311087
2022,2706406,Saúde,26749135.6,21.76099880185007
2022,2703908,Saúde,8745540.8,19.78288153663313
2022,2706901,Saúde,90448115.89,26.612213158035647
2022,2706422,Saúde,10889904.11,21.139630871893576
2022,2707602,Saúde,15362738.71,20.61357385442297
2022,2707701,Saúde,66715352.93,23.22515942539495
2022,2702355,Saúde,22594039.06,20.27523767393373
2022,2702405,Saúde,53156121.45,22.51800077290417
2022,2701100,Saúde,14194924.15,19.44319645371383
2022,2707206,Saúde,13571892.52,16.548622571155676
2022,2706307,Saúde,111182004.68,31.874139250383195
2022,2705705,Saúde,21340421.91,23.05277320094426
2022,2701902,Saúde,8073088.49,20.916554246623296
2022,2701803,Saúde,9608588.34,15.725869575645044
2022,2700102,Saúde,21491583.87,22.80947840042677
2022,2709301,Saúde,57683137.37,17.412163749143094
2022,2705606,Saúde,11804149.08,17.397780409273956
2022,2707107,Saúde,25747122.21,19.314507200367714
2022,2701407,Saúde,42427442.68,19.580534284176434
2022,2702702,Saúde,7452058.12,18.108879721347318
2022,2702553,Saúde,14805053.62,22.12541270955978
2022,2709103,Saúde,17435410.46,16.88708975281825
2022,2706208,Saúde,8269149.36,21.646347569175163
2022,2707909,Saúde,9362644.72,17.86996639016185
2022,2705804,Saúde,9913816.39,15.903651868137839
2022,2704609,Saúde,10553172.01,15.511890684850007
2022,2704708,Saúde,62879823.89,17.404903693045465
2022,2704500,Saúde,36424335.52,17.58383991901935
2022,2704104,Saúde,16790379.01,16.645780361923144
2022,2700904,Saúde,7523303.2,16.132797330753444
2022,2705507,Saúde,40801805.97,25.21405067616168
2022,2708303,Saúde,25428859.15,23.746938542835533
2022,2700805,Saúde,8320553.06,20.275762308795887
2022,2702009,Saúde,12071368.69,20.48618600729844
2022,2707404,Saúde,15594230.32,16.41073282225609
2022,2707503,Saúde,18926926.04,22.468490817742815
2022,2703106,Saúde,24474209.82,20.84076352467943
2022,2701605,Saúde,15966283.12,15.110007218673683
2022,2706109,Saúde,11688394.84,17.40686349803316
2022,2705309,Saúde,8838078.16,21.923786924707393
2022,2703304,Saúde,17129347.46,14.59614315912865
2022,2709004,Saúde,8347781.85,16.49864199059964
2022,2705200,Saúde,20523844.24,23.474668853158416
2022,2706604,Saúde,11896585.45,26.779049485428157
2022,2709400,Saúde,30554347.8,25.599597497470278
2022,2706703,Saúde,74300938.83,26.415834056340298
2022,2708402,Saúde,35094144.23,23.552801793236462
2022,2707008,Saúde,6430920.78,21.692314103636598
2022,2705002,Saúde,20218167.4,19.201779529833917
2022,2700607,Saúde,11790978.91,19.393746996249074
2022,2701001,Saúde,24766583.36,19.311056326406092
2022,2702207,Saúde,9986914.89,19.92396836757721
2022,2708204,Saúde,9039014.32,18.49914483422961
2022,2707305,Saúde,31551206.37,23.169519063331656
2022,2702306,Saúde,72664443.65,26.159079138851883
2022,2705408,Saúde,8295720.07,18.31498137025254
2022,2703007,Saúde,16333406.15,23.499713328682777
2022,2708808,Saúde,31031631.84,19.828958219402253
2022,2701704,Saúde,22240918.23,24.914500975994294
2022,2701308,Saúde,26093008.72,22.811929401621818
2022,2706000,Saúde,11081966.82,17.05902631379066
2022,2708709,Saúde,13159106.71,21.526836438121563
2022,2703700,Saúde,8301719.35,21.51341035945206
2022,2709152,Saúde,57426644.62,22.899118579746094
2022,2703759,Saúde,15478970.99,19.46976530454398
2022,2706802,Saúde,29582964.98,28.116394277063055
2022,2708105,Saúde,12219352.08,17.785757745035003
2022,2708600,Saúde,90983227,26.033456967788954
